Voicing Recall, Voicing False Alarm, Raw Pitch Accuracy, Raw Chroma Accuracy, Overall Accuracy
1.0,1.0,0.7277978339350181,0.8151624548736462,0.5550660792951542
1.0,1.0,0.9017322834645669,0.945511811023622,0.7554089709762533
1.0,0.0,0.9597818677573279,0.9604635310156783,0.9597818677573279
1.0,1.0,0.37696540880503143,0.3836477987421384,0.37622597096900745
1.0,1.0,0.754392666157372,0.7650878533231474,0.6857638888888888
1.0,1.0,0.7238650562265723,0.7271970012494794,0.652647390161472
1.0,1.0,0.7790697674418605,0.7851897184822522,0.4980438184663537
1.0,1.0,0.7965594614809275,0.806282722513089,0.6145412579342181
1.0,1.0,0.34985609210105534,0.5567636712503997,0.3301146650573325
1.0,1.0,0.48667601683029454,0.5834502103786816,0.48480614739783445
1.0,1.0,0.48785614198972443,0.5284913591779542,0.4773765996343693
1.0,1.0,0.52939015429831,0.6462160176340925,0.43521594684385384
1.0,1.0,0.6589648798521257,0.6732902033271719,0.5136887608069164
1.0,1.0,0.5728735632183908,0.6675862068965517,0.5198164372131832
1.0,1.0,0.7920910724985021,0.8079688436189335,0.6919654540696153
1.0,1.0,0.6264705882352941,0.653921568627451,0.5562971561230412
1.0,1.0,0.7324212535793827,0.7534202990773147,0.5884458077709611
1.0,1.0,0.7615384615384615,0.7834008097165992,0.5614925373134328
1.0,1.0,0.8284132841328413,0.8313653136531365,0.6511020881670534
1.0,1.0,0.8481960517358748,0.8509189925119128,0.6679174484052532
1.0,0.95,0.6847455952639466,0.7262668193546626,0.5787859146625761
